lband,uband,w1,w2,wchr
25.632,25.632,0.0,0.0,1.0
28.415,28.415,0.0,1.05,1.0
30.331,30.331,0.0,1.1745,1.0
30.378,30.378,0.0,0.0,0.5873
36.807,36.807,0.0,0.01272,0.0254
46.522,46.522,0.0,1.0471,0.8055
55.437,55.437,0.0,0.0,0.5841
58.433,58.433,0.0,0.0,0.5258
60.976,60.976,0.0,0.42239,0.528
62.973,62.973,0.0,0.0,0.6448
70.336,70.336,0.0,0.0,0.8529
76.515,76.515,0.0,0.0,2.8179
77.041,77.041,0.0,1.8057,1.2038
78.771,78.771,0.0,0.0,10.93
97.702,97.702,0.0,0.0,1.0
102.57,102.57,0.0,0.0,1.0737
103.19,103.19,0.0,0.0,2.0631
