lband,uband,a,b
25.632,25.632,0.0115847,0.0016549
28.415,28.415,0.0,0.0
30.331,30.331,0.0,0.0
30.378,30.378,0.24958,0.02093730373
36.807,36.807,0.0,0.0
46.522,46.522,0.0,0.0
55.437,55.437,0.015679,0.0018897796169999
58.433,58.433,0.00150905,0.00685254108
60.976,60.976,0.0,0.0
62.973,62.973,0.0253029,0.0035441432
70.336,70.336,0.00654365,0.000961150068
76.515,76.515,0.00222136,0.002084654241
77.041,77.041,0.0,0.0
78.771,78.771,0.00383174,0.00864097382
97.702,97.702,0.0486867,0.018084
102.57,102.57,0.00137646,0.02234176434
103.19,103.19,-0.00147633,0.03232857069
