lband,uband,center,a,b,c
1.862,2.952,2.407,-0.017972,0.0,0.000637618
3.002,4.922,3.962,-0.0177202,8.161199999999999e-05,0.000598488
5.052,9.999,7.5255,-0.00642898,0.0006393256,0.0009589884
10.054,14.84,12.447,0.00326442,9.843659999999999e-05,9.843659999999999e-05
15.01,19.858,17.434,0.0127261,0.0026827425,0.0026827425
20.002,24.918,22.46,-0.0592997,0.000521616375,0.0029558261250000003
25.11,29.95,27.53,-0.065154,0.00030766859999999997,0.0035381888999999997
30.331,34.985,32.658,-0.0740308,0.0,0.002403655216
35.601,39.982,37.7915,-0.0380497,1.314249993e-05,0.0007753881402
40.114,43.67,41.892,0.000815105,3.11842972e-05,5.791258900000001e-05
45.3,49.937,47.6185,-0.0142005,6.917436026e-05,0.00015564112292
50.0,55.0,52.5,-0.00578278,0.00012232539429,5.5600206474999997e-05
55.437,59.96,57.6985,0.0,0.0,0.0
60.976,64.41,62.693,-0.000526566,0.00024687314590000003,0.00016458361878000002
65.03,70.0,67.515,0.00132153,1.5854328809999998e-05,5.284847503e-06
70.1,75.0,72.55,0.0,0.0,0.0
75.001,80.0,77.5005,0.000740834,0.0,0.0
80.1,85.0,82.55,0.0,0.0,0.0
85.1,90.0,87.55,0.0,0.0,0.0
90.1,95.0,92.55,0.0,0.0,0.0
95.1,100.0,97.55,0.0,0.0,0.0
100.1,105.0,102.55,0.0,0.0,0.0
