lband,uband,a,b2w1,b2w2
25.632,25.632,0.0,0.0,0.0
28.415,28.415,-0.0936616,0.0,0.0014645085000000002
30.331,30.331,-0.0497807,0.0,0.0010607085675000002
30.378,30.378,0.0,0.0,0.0
36.807,36.807,0.0258679,0.0,2.61270072e-06
46.522,46.522,0.00449212,0.0,4.802859222e-05
55.437,55.437,0.0,0.0,0.0
58.433,58.433,0.0,0.0,0.0
60.976,60.976,0.000172306,0.0,8.480915375999999e-05
62.973,62.973,0.0,0.0,0.0
70.336,70.336,0.0,0.0,0.0
76.515,76.515,0.0,0.0,0.0
77.041,77.041,0.00139946,0.0,0.00012145950765000002
78.771,78.771,0.0,0.0,0.0
97.702,97.702,0.0,0.0,0.0
102.57,102.57,0.0,0.0,0.0
103.19,103.19,0.0,0.0,0.0
